Barcode,gtin14,barcode_format,Name,Brand,ingredients,Nutrition facts,Image url,Source,health_profile,category,net_quantity,provenance,source_url,images_available
021130338405,00021130338405,UPC-A,Diced Tomatoes with Green Chiles,Signature SELECT,"[""Diced Tomatoes"", ""Tomato Juice"", ""Jalapeno Chili Peppers"", ""Salt"", ""Citric Acid"", ""Spices"", ""Calcium Chloride"", ""Natural Flavors""]","{""serving_size"": ""1/2 cup (121g)"", ""servings_per_container"": ""About 3.5"", ""calories"": ""25"", ""total_fat"": ""0g"", ""saturated_fat"": ""0g"", ""trans_fat"": ""0g"", ""cholesterol"": ""0mg"", ""sodium"": ""360mg"", ""total_carbohydrate"": ""5g"", ""dietary_fiber"": ""0g"", ""total_sugars"": ""3g"", ""added_sugars"": ""0g"", ""protein"": ""1g"", ""vitamin_d"": ""0mcg"", ""calcium"": ""0mg"", ""iron"": ""0mg"", ""potassium"": ""104mg""}",withheld_for_review,US-retailer-1,better-for-you,tomatoes,~424 g,own-photography,,yes
747479000604,00747479000604,UPC-A,Sensitive Marinara,Rao's Homemade,"[""Italian Whole Peeled Tomatoes"", ""Olive Oil"", ""Carrots"", ""Salt"", ""Celery"", ""Basil""]","{""servings_per_container"": ""about 5"", ""serving_size"": ""1/2 cup (125g)"", ""calories"": ""130"", ""total_fat"": ""11g"", ""saturated_fat"": ""1.5g"", ""trans_fat"": ""0g"", ""cholesterol"": ""0mg"", ""sodium"": ""330mg"", ""total_carbohydrate"": ""6g"", ""dietary_fiber"": ""1g"", ""total_sugars"": ""4g"", ""added_sugars"": ""0g"", ""protein"": ""2g"", ""vitamin_d"": ""0mcg"", ""calcium"": ""10mg"", ""iron"": ""0.2mg"", ""potassium"": ""360mg""}",withheld_for_review,US-retailer-1,better-for-you,Groceries,24 oz,own-photography,,yes
192699000864,00192699000864,UPC-A,Rosé Buldak Spicy Ramen Artificial Spicy Chicken Flavor,Samyang,"[""Wheat Flour"", ""Modified Tapioca Starch"", ""Palm Oil"", ""Wheat Gluten"", ""Salt"", ""Glycerin"", ""Soybean Oil"", ""Guar Gum"", ""Potassium Carbonate"", ""Lecithin"", ""Polyglycerol Esters of Fatty Acids"", ""Sodium Carbonate"", ""Disodium Phosphate"", ""Tocopherols"", ""Green Tea Extract"", ""Riboflavin (color)"", ""Citric Acid"", ""Water"", ""Sugar"", ""Dextrin"", ""Yeast Extract Powder"", ""Skim Milk Powder"", ""Corn Syrup"", ""Onion"", ""Starch(modified, wheat, corn)"", ""Red Pepper Powder"", ""Maltodextrin"", ""Milk Powder"", ""Garlic"", ""Lactose"", ""Artificial Chicken Flavor"", ""Whey"", ""Milk Cream"", ""Enzyme Modified Cheddar Cheese(Cheese[cultured milk, salt, enzyme], Trisodium citrate, Sodium phosphate)"", ""Soy Sauce(Water, Soybean, Salt, Wheat)"", ""Acid Hydrolyzed Soy"", ""Soy Protein"", ""Disodium Inosinate"", ""Disodium Guanylate"", ""Oleoresin(capsicum, habanero pepper, black pepper)"", ""Color(paprika, annatto)"", ""Mozzarella Cheese(Milk, Cheese culture, Salt, Enzyme)"", ""Monosodium Glutamate"", ""Corn Oil"", ""Rice Powder"", ""Whole Milk Powder"", ""Phosphates(potassium, sodium, calcium)"", ""Sodium Caseinate"", ""Spices"", ""Silicon Dioxide"", ""Mono&Diglycerides"", ""Palm&Coconut Oil"", ""Lactic Acid Bacteria Powder"", ""Lactic Acid"", ""Dipotassium Phosphate"", ""Parsley"", ""Garlic Powder"", ""Tricalcium Phosphate"", ""Caramelized Sugar"", ""Sesame Oil"", ""Garlic Oil""]","{""servings_per_container"": ""5"", ""serving_size"": ""1 bag (140g)"", ""calories"": ""580"", ""total_fat"": ""20g"", ""saturated_fat"": ""8g"", ""trans_fat"": ""0g"", ""cholesterol"": ""15mg"", ""sodium"": ""1140mg"", ""total_carbohydrate"": ""87g"", ""dietary_fiber"": ""3g"", ""total_sugars"": ""12g"", ""added_sugars"": ""11g"", ""protein"": ""14g"", ""vitamin_d"": ""0mcg"", ""calcium"": ""90mg"", ""iron"": ""1.9mg"", ""potassium"": ""350mg""}",withheld_for_review,US-retailer-1,unhealthy,instant-noodles,~700 g,own-photography,,yes
031146262571,00031146262571,UPC-A,Bowl Noodles Spicy Chicken Flavor,Nongshim,"[""ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID)"", ""PALM OIL"", ""POTATO STARCH"", ""MODIFIED POTATO STARCH"", ""SALT"", ""CONTAINS LESS THAN 2% OF: ARTIFICIAL FLAVORS"", ""BEEF BONE EXTRACT\u2020"", ""BEEF EXTRACT\u2020"", ""BEEF FAT\u2020"", ""BLACK PEPPER\u2020"", ""CHICKEN BONE EXTRACT\u2020"", ""CHICKEN BROTH\u2020"", ""CHICKEN FAT\u2020"", ""CORN SYRUP"", ""DEHYDRATED VEGETABLES (CHILI PEPPER, GREEN ONION, GARLIC, MUSHROOM)\u2020"", ""DEXTROSE"", ""DISODIUM GUANYLATE"", ""DISODIUM INOSINATE"", ""DISODIUM SUCCINATE"", ""DRIED CARROT"", ""FREEZE DRIED CORN"", ""GARLIC\u2020"", ""GUM ARABIC"", ""HYDROLYZED SOY PROTEIN"", ""MALIC ACID"", ""MALTODEXTRIN"", ""MODIFIED CORN STARCH"", ""MODIFIED TAPIOCA STARCH"", ""MUSHROOM EXTRACT\u2020"", ""NATURAL FLAVORS (COCONUT)"", ""ONION\u2020"", ""PARSLEY FLAKES"", ""POTASSIUM CARBONATE"", ""RADISH EXTRACT\u2020"", ""RED CHILI PEPPER\u2020"", ""RIBOFLAVIN (COLOR)"", ""RICE FLOUR"", ""SODIUM CARBONATE"", ""SODIUM PHOSPHATES"", ""SOY LECITHIN"", ""SOYBEAN PASTE (WHEAT, SALT, SOY)"", ""SUGAR"", ""TEXTURED SOY PROTEIN (DEFATTED SOY FLOUR, HYDROLYZED SOY PROTEIN, DEXTROSE, MALTODEXTRIN, WHEAT GLUTEN, VINEGAR, CITRIC ACID)"", ""TOCOPHEROLS (ANTIOXIDANT)"", ""TURMERIC\u2020 (COLOR)"", ""VEGETABLE MIXTURE\u2020 (CORN SYRUP, ONION, CABBAGE, SPINACH, PUMPKIN, CARROT, TOMATO PASTE)"", ""YEAST EXTRACT"", ""YELLOW CORN FLOUR""]","{""serving_size"": ""1 bowl (86g)"", ""calories"": ""370"", ""total_fat"": ""12g"", ""saturated_fat"": ""6g"", ""trans_fat"": ""0g"", ""cholesterol"": ""0mg"", ""sodium"": ""1500mg"", ""total_carbohydrate"": ""58g"", ""dietary_fiber"": ""4g"", ""total_sugars"": ""3g"", ""includes_added_sugars"": ""less than 1g"", ""protein"": ""8g"", ""vitamin_d"": ""0mcg"", ""calcium"": ""20mg"", ""iron"": ""3.4mg"", ""potassium"": ""260mg""}",withheld_for_review,US-retailer-1,unhealthy,dehydrated-asian-style-soup-with-noodles,86 g,own-photography,,yes
073141152426,00073141152426,UPC-A,Pocky Crunchy Strawberry Cream Covered Biscuit Sticks,Glico,"[""FLOUR (WHEAT FLOUR, FERROUS FUMARATE, NIACINAMIDE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID)"", ""SUGAR"", ""PALM OIL"", ""LACTOSE"", ""WHOLE MILK POWDER"", ""VEGETABLE SHORTENING (PALM OIL, FULLY HYDROGENATED PALM OIL)"", ""STRAWBERRY POWDER (STRAWBERRY PUREE GRANULATE, MALTODEXTRIN, GLUCOSE SYRUP, BROWN SUGAR)"", ""INULIN"", ""CACAO BUTTER EQUIVALENT (PALM OIL, SUNFLOWER OIL, LECITHIN, TOCOPHEROL CONCENTRATE (PRESERVATIVE))"", ""COCOA POWDER"", ""STRAWBERRY FLAKES (STRAWBERRY PUREE GRANULATE, GLUCOSE SYRUP, MALTODEXTRIN, BROWN SUGAR)"", ""WHOLE WHEAT FLOUR"", ""ARTIFICIAL FLAVOR"", ""BEET RED (COLOR)"", ""SOY LECITHIN"", ""SALT"", ""SODIUM BICARBONATE"", ""BAKER'S YEAST"", ""WHEAT GLUTEN"", ""PGPR"", ""MALIC ACID"", ""SUCROSE FATTY ACID ESTERS""]","{""serving_size"": ""1 pack (26g)"", ""servings_per_container"": ""2"", ""calories"": ""130"", ""total_fat"": ""6g"", ""saturated_fat"": ""3.5g"", ""trans_fat"": ""0g"", ""cholesterol"": ""0mg"", ""sodium"": ""40mg"", ""total_carbohydrate"": ""18g"", ""dietary_fiber"": ""1g"", ""total_sugars"": ""10g"", ""added_sugars"": ""8g"", ""protein"": ""2g"", ""vitamin_d"": ""0mcg"", ""calcium"": ""0mg"", ""iron"": ""0.2mg"", ""potassium"": ""40mg""}",withheld_for_review,US-retailer-1,better-for-you,biscuits,~52 g,own-photography,,yes
048564002030,00048564002030,UPC-A,Sonora Style Soft Taco Flour Tortillas,Guerrero,"[""Enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid)"", ""Water"", ""Vegetable shortening and margarine blend (interesterified soybean oil, hydrogenated soybean and/or cottonseed oils, mono- and diglycerides, soy lecithin, artificial flavor, beta-carotene [color], vitamin a palmitate)"", ""Salt"", ""Sugar"", ""Cellulose gum"", ""Sodium acid pyrophosphate"", ""Enzymes"", ""Baking soda"", ""Fumaric acid"", ""Calcium propionate (to maintain freshness)"", ""Sorbic acid (to maintain freshness)""]","{""serving_size"": ""1 tortilla (41g)"", ""servings_per_container"": ""20"", ""calories"": ""140"", ""total_fat"": ""6g"", ""saturated_fat"": ""2g"", ""trans_fat"": ""0g"", ""cholesterol"": ""0mg"", ""sodium"": ""310mg"", ""total_carbohydrate"": ""17g"", ""dietary_fiber"": ""2g"", ""total_sugars"": ""1g"", ""added_sugars"": ""1g"", ""protein"": ""3g"", ""vitamin_d"": ""0mcg"", ""calcium"": ""45mg"", ""iron"": ""1.4mg"", ""potassium"": ""39mg""}",withheld_for_review,US-retailer-1,better-for-you,wheat-breads,29.17 oz,own-photography,,yes
041501519455,00041501519455,UPC-A,Yellow Corn Taco Shells,Ortega,"[""Enriched Corn Masa Flour (Yellow Corn Flour, Folic Acid, Hydrated Lime)"", ""High Oleic Canola Oil And/Or Corn Oil"", ""Water"", ""Salt""]","{""servings_per_container"": ""4"", ""serving_size"": ""3 shells (35g)"", ""calories"": ""170"", ""total_fat"": ""9g"", ""saturated_fat"": ""1g"", ""trans_fat"": ""0g"", ""cholesterol"": ""0mg"", ""sodium"": ""200mg"", ""total_carbohydrate"": ""21g"", ""dietary_fiber"": ""2g"", ""total_sugars"": ""0g"", ""added_sugars"": ""0g"", ""protein"": ""2g"", ""vitamin_d"": ""0mcg"", ""calcium"": ""20mg"", ""iron"": ""0.8mg"", ""potassium"": ""70mg""}",withheld_for_review,US-retailer-1,healthy,Taco shells,4.9 oz,own-photography,,yes
046000811512,00046000811512,UPC-A,18 Taco Shells Crunchy,Old El Paso,"[""Limed Corn Flour"", ""Palm Oil"", ""Salt""]","{""serving_size"": ""3 Shells (32g)"", ""servings_per_container"": ""6"", ""calories"": ""150"", ""total_fat"": ""7g"", ""saturated_fat"": ""3g"", ""trans_fat"": ""0g"", ""cholesterol"": ""0mg"", ""sodium"": ""260mg"", ""total_carbohydrate"": ""20g"", ""dietary_fiber"": ""2g"", ""total_sugars"": ""0g"", ""added_sugars"": ""0g"", ""protein"": ""2g"", ""vitamin_d"": ""0mcg"", ""calcium"": ""0mg"", ""iron"": ""0mg"", ""potassium"": ""0mg""}",withheld_for_review,US-retailer-1,healthy,biscuits,6.89oz,own-photography,,yes
021130322312,00021130322312,UPC-A,Sliced Carrots,Signature SELECT,"[""CARROTS"", ""WATER"", ""SALT"", ""CALCIUM CHLORIDE (FIRMING AGENT)""]","{""serving_size"": ""1/2 cup (120g)"", ""servings_per_container"": ""about 3.5"", ""calories"": ""15"", ""total_fat"": ""0g"", ""saturated_fat"": ""0g"", ""trans_fat"": ""0g"", ""cholesterol"": ""0mg"", ""sodium"": ""250mg"", ""total_carbohydrate"": ""4g"", ""dietary_fiber"": ""1g"", ""total_sugars"": ""2g"", ""added_sugars"": ""0g"", ""protein"": ""0g"", ""vitamin_d"": ""0mcg"", ""calcium"": ""30mg"", ""iron"": ""0.4mg"", ""potassium"": ""130mg""}",withheld_for_review,US-retailer-1,healthy,canned-vegetables,120 g,own-photography,,yes
025000136788,00025000136788,UPC-A,Simply Orange Pulp Free 100% Orange Juice,Simply,"[""100% Pure Squeezed Pasteurized Orange Juice""]","{""servings_per_container"": ""About 6"", ""serving_size"": ""8 fl oz (240 mL)"", ""calories"": ""110"", ""total_fat"": ""0g"", ""sodium"": ""0mg"", ""total_carbohydrate"": ""26g"", ""total_sugars"": ""23g"", ""added_sugars"": ""0g"", ""protein"": ""2g"", ""calcium"": ""20mg"", ""potassium"": ""450mg"", ""vitamin_c"": ""80%"", ""thiamin"": ""8%"", ""niacin"": ""2%"", ""vitamin_b6"": ""4%"", ""folate"": ""10%"", ""magnesium"": ""6%""}",withheld_for_review,US-retailer-1,healthy,orange-juices-without-pulp,46 oz,own-photography,,yes
